IdExtraccion|Tema|NombreExtraccion|IdExtraccionMaestra|IndRegulatorio|DatoObligatorio|PLDataFactory|ValorDeltaInicial|ValorDeltaFinal|tipo_liqui|estado_deltas|EstadoPipeline|Descripcion|Ejecucion|FechaInicioEjecucion|Estado
652|InformacionGeneralSIN|9.1_ListadoUnidadesPlantas||true|true|PL_SIMEM_InformacionGeneralSIN_9_1_ListadoUnidadesPlantas|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-01T08:01:21.610Z|Finalizado
653|InformacionOperativaPeriodicaSIN|10_Reevaluacion_Parametros_AGC||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Reevaluacion_Parametros_AGC|2024-01-01|2024-12-31||Deltas OK!|||||Sin procesar
655|InformacionFinancieraMEM|Multifuente_33_2_219807_a||false|false|PL_SIMEM_InformacionFinancieraMEM_Multifuente_33_2_219807|2024-08-28|2024-09-03||Deltas OK!|Finalizado|||2024-08-28T06:03:45.417Z|Finalizado
728|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Aportes||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Aportes|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:46.690Z|Finalizado
729|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Demanda||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Demanda|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:21.543Z|Finalizado
730|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Importaciones_Netas||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Importaciones_Netas|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:43.770Z|Finalizado
731|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Reservas_Energia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Reservas_Energia|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:11.423Z|Finalizado
732|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Reservas_Porcentaje||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Reservas_Porcentaje|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:14.850Z|Finalizado
733|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Costos_Marginales||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Costos_Marginales|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:18.050Z|Finalizado
734|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Generacion||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Generacion|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:09.530Z|Finalizado
735|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Vertimientos||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Vertimientos|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:58.937Z|Finalizado
736|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Deficit||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Deficit|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:58.380Z|Finalizado
737|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Consumo_Combustible||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Consumo_Combustible|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:39.100Z|Finalizado
738|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Aportes||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Aportes|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:45.160Z|Finalizado
739|InfoGeneracionSeguridadyRestricciones|11.3_MontoIndisponibilidadLineasSTR||true|false|PL_InfoGeneracionSeguridadyRestricciones_11_3_MontoIndisponibilidadLineasSTR|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-13T11:28:13.820Z|Finalizado
744|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Demanda||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Demanda|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:55.787Z|Finalizado
745|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Importaciones_Netas||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Importaciones_Netas|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:57.970Z|Finalizado
