IdExtraccion|NombreExtraccion|IdConfiguracionGeneracionArchivos|Tema|NombreArchivoDestino|IdGeneracionArchivoMaestra|IndRegulatorio|DatoObligatorio|NBSynapse|ValorDeltaInicial|ValorDeltaFinal|FechaDeltaInicial|FechaDeltaFinal|PLSynapse|tipo_liqui|estado_deltas|EstadoPipeline|Descripcion|Ejecucion|FechaInicioEjecucion|Estado|EstadoDeltasXM
795|10_InformeDiarioOperacionAportesHidraulicosPorcentaje|EC859698-1AB1-46C7-967D-64330334D134|InformacionOperativaPeriodicaSIN|InformeDiarioOperacionAportesHidraulicosPorcentaje||true|true|nb_general_simple|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-01T08:05:57.277Z|Finalizado|Deltas OK!
274|12_CEEyCERE|ED7CAABF-FD4E-45F2-91CA-AC5B8CB4AFF0|InfoCargoPorConfiabilidad|CEEyCERE||true|true|nb_general_simple|2024-08-01|2024-09-30|2024-08-01T00:00:00.000Z|2024-09-30T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-10T17:05:51.560Z|Finalizado|Deltas OK!
748|10_Panorama_Energetico_Largo_Plazo_Costos_Marginales|EF05220B-3C74-414F-87CF-94CE8A55AE25|InformacionOperativaPeriodicaSIN|CostosMarginalesLargoPlazo||true|true|NB_InformacionOperativaPeriodicaSIN_CostosMarginalesLargoPlazo|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2024-09-30T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-15T18:05:42.197Z|Finalizado|Deltas OK!
182|27_29_31_TablaMaestraInformacionCttosLiquidada|F0BE2AA1-798B-432C-9166-6228C302388F|EstadisticasCttos|PreciosMensualesContratosComercializadorMR||true|true|NB_EstadisticasCttos_PreciosMensualesContratosComercializadorMR|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-05T06:09:19.150Z|Finalizado|Deltas OK!
337|10_InformeDiarioOperacionAportesHidraulicos|F138B695-24DD-4714-96CF-0D3E70FE0C7F|InformacionOperativaPeriodicaSIN|InformeDiarioOperacionAportesHidraulicos||true|true|nb_general_simple|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-01T08:05:58.633Z|Finalizado|Deltas OK!
182|27_29_31_TablaMaestraInformacionCttosLiquidada|F21BD1C5-7B71-4C28-93C6-386084A2DAED|EstadisticasCttos|CantidadesHorariasMensualesComercializadorMME||true|true|nb_general_simple|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-05T23:08:33.003Z|Finalizado|Deltas OK!
320|10_ResumenInformacionOperativaGeneracion|F288556B-1EFD-4941-AD0E-8A769220615E|InformacionOperativaPeriodicaSIN|ResumenInformacionOperativaGeneracion||true|true|nb_general_simple|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-01T07:07:38.900Z|Finalizado|Problemas con deltas, se tienen 2024-09-01 y 2024-09-01, deberian ser 2024-09-02 y 2024-09-02 respectivamente.
336|10_InformeDiarioOperacionCostos|F2BA181E-08B5-4EBE-ABAD-55DBB1B56215|InformacionOperativaPeriodicaSIN|InformeDiarioOperacionCostos||true|true|NB_InformacionOperativaPeriodicaSIN_InformeDiarioOperacionCostos|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-01T07:07:37.853Z|Finalizado|Deltas OK!
273|15_CantidadesPreciosContratosDDV|F3A83BAA-A370-4557-BE0D-05396FB30421|InformacionAnillosdeSeguridadCxC|EstadisticasContratosDDV||true|true|NB_InformacionAnillosdeSeguridadCxC_EstadisticasContratosDDV|2024-08-01|2100-01-31|2024-08-01T00:00:00.000Z|2100-01-31T00:00:00.000Z|||Problemas con deltas, se tienen 2024-08-01, deberian ser 2024-09-01 08:00:00|Finalizado|||2024-09-01T08:05:57.067Z|Fallido|Deltas OK!
355|15_TRM|F3A83BAA-A370-4557-BE0D-05396FB30421|InformacionAnillosdeSeguridadCxC|EstadisticasContratosDDV||true|true|NB_InformacionAnillosdeSeguridadCxC_EstadisticasContratosDDV|2024-08-01|2100-01-31|2024-08-01T00:00:00.000Z|2100-01-31T00:00:00.000Z|||Problemas con deltas, se tienen 2024-08-01, deberian ser 2024-09-01 08:00:00|Finalizado|||2024-09-01T08:05:57.067Z|Fallido|Deltas OK!
